"","X","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","r","close"
"106",106,0,0,0,6.47421158937319,1.31045099849797,0,0,0,0,0,11.49677774682,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7.91051881997039,"FALSE"
"107",107,0,0,0,5.82422057143471,6.34214099927458,0,0,0,0,0,9.60162815530311,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8.27011368983493,"FALSE"
"108",108,0,0,0,1.5002477173406,4.62120888583358,0,0,0,0,0,8.89278451385831,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7.14221350567526,"FALSE"
"109",109,0,0,0,1.96843575700795,1.12954360052281,0,0,0,0,0,8.58135818084167,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6.76540789416062,"FALSE"
"110",110,0,0,0,0.430047821412898,2.39865028160508,0,0,0,0,0,5.49603601572612,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6.3758246571818,"FALSE"
"111",111,0,0,0,1.89619208980426,2.60691838443791,0,0,0,0,0,8.14464181409119,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6.9039791373887,"FALSE"
"112",112,0,0,0,1.41564860061388,2.5405060739282,0,0,0,0,0,5.75023771961272,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6.60851072777215,"FALSE"
"113",113,0,4.56131353907771,0,2.70890684671551,5.27752198412486,0,0,0,0,0,12.1480749536843,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,5.87224741951159,"FALSE"
"114",114,0,0.655396004136103,0,2.64599020349359,2.53370321839828,0,0,0,0,0,5.02121187494297,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,4.4814236526222,"FALSE"
"115",115,0,1.10704930886025,0,0,3.07167936159642,0,0,0,0,0,10.2895515438011,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.48405237904111,"FALSE"
"116",116,0,1.49476633504516,0,0,4.7583989576675,0,0,0,0,0,5.86949309153213,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.38889944317344,"FALSE"
"117",117,0,3.3377484095761,0,0,5.23632818583823,0,0,0,0,0,6.11238786082972,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.68483793302546,"FALSE"
"118",118,0,1.62275386802624,0,0,3.26071960097119,0,0,0,0,0,6.46494389979785,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.26123502060689,"FALSE"
"119",119,0,4.12678786547998,0,0,3.88488485101383,0,0,0,0,0,9.53860671906818,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.8804948276466,"FALSE"
"120",120,0,4.4151798823218,0,0,2.56283146361807,0,0,0,0,0,3.20584199055986,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.23744436804974,"FALSE"
"121",121,0,1.09549379838612,0,0,2.88657436287599,0,0,0,0,0,7.47785522471807,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.23331746242075,"FALSE"
"122",122,0,4.45809420588846,0,0,2.55956542037512,0,0,0,0,0,2.81821874650637,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.21091562276117,"FALSE"
"123",123,0,2.99555772916501,0,0,1.71314649125787,0,0,0,0,0,8.346011252373,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.37614522946256,"FALSE"
"124",124,0,3.37133778907217,0,0,0.568988957621644,0,0,0,0,0,4.89439409326828,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.99736452385396,"TRUE"
"125",125,0,1.29798028639257,0,0,1.01732273278956,0,0,0,0,0,5.76449387057106,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.88166610813085,"TRUE"
"126",126,0,3.73598172067191,0,0,1.0511071554579,0,0,0,0,0,3.93651486499268,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.02440616704951,"FALSE"
"127",127,0,5.25109939820526,0,0,1.24316649082532,0,0,0,0,0,5.8164167078299,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3.37711371123894,"FALSE"
"128",128,0,7.81003992414232,0,0,1.40260265917797,2.47340777076486,0,0,0,0,7.31042400903626,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1.24503248094262,"TRUE"
"129",129,0,8.93620999561392,0,0,0,0.573619680924354,0,0,0,0,3.91544097444464,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.91456806232679,"FALSE"
"130",130,0,3.60219341759654,0,0,0,1.13132555094678,0,0,0,0,5.68925030778578,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3.47567222291985,"FALSE"
"131",131,0,10.0728904213169,0,0,0,-0.0850799689724456,0,0,0,0,4.88984276763358,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.07533180233811,"FALSE"
"132",132,0,9.34050262818695,0,0,0,1.20884540963572,0,0,0,0,5.49179006528573,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4.13719624191852,"FALSE"
"133",133,18.4349280007862,7.26281087538924,0,0,0,1.35158225489836,0,0,0,0,3.50072439791684,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4.91454556032963,"FALSE"
"134",134,6.08226710712891,11.1122703598316,0,0,0,-0.162635953489451,0,0,0,0,2.82591614328902,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3.78703720253014,"FALSE"
"135",135,21.5929383257111,7.09876103051784,0,0,0,2.55636577163606,0,0,0,0,3.56008623748753,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.35236122597013,"FALSE"
"136",136,12.154784912215,8.09006138511258,0,0,0,2.63711427037121,0,0,0,0,3.87800637382836,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4.42456965463876,"FALSE"
"137",137,10.2145185179133,12.2400728360196,0,0,0,4.12596623144846,0,0,0,0,4.30663021071133,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4.83764850120793,"FALSE"
"138",138,18.0851512751919,12.9810304747729,0,0,0,1.83377402612667,0,0,0,0,3.27758464295198,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.56282608477813,"FALSE"
"139",139,18.2333319262194,12.6181086561876,0,0,0,4.47936730740321,0,0,0,0,4.68554878134291,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,5.85318753465287,"FALSE"
"140",140,22.9052531108379,10.3820372299555,0,0,0,3.35350939844906,0,0,0,0,0,1.63093863461561,0,1,1,0,0,0,1,0,0,0,0,0,1,0,7.94687368798889,"FALSE"
"141",141,14.7301974952266,8.30309899373907,0,0,0,6.55806911617188,0,0,0,0,0,0.41211562375843,0,1,1,0,0,0,1,0,0,0,0,0,1,0,6.66717312954423,"FALSE"
