Country		Population	Adult literacy rate, both sexes (%)	Expendeture on education as % of GDP	Primary Completion rate, both sexes (%)	Primary Completetion rate, Male(%)	Primary completion rate, Female (%)	Youth (15-24 years) literacy rate, Female (%)	Youth Literacy rate, Male (%)
El-Salvador		6089644	86.76757813	3.417490005	100.6340866	101.1700363	100.1196899	97.50019073	96.94699097
San-Marino		31391	N/A	2.383729935	N/A	N/A	N/A	N/A	N/A
Somalia		10268157	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serbia		7164132	97.96240997	4.426579952	98.90995789	99.29550934	98.54447937	99.26990509	99.34544373
South-Sudan		11453810	26.83127785	N/A	N/A	N/A	N/A	29.57762337	44.07936096
Sao-Tome-and-Principe		182386	69.53638458	9.479419708	104.0250397	106.6756897	101.4190674	77.33728027	83.05632782
Suriname		533450	94.67575073	N/A	85.03748322	90.87200928	79.32280731	98.80215454	97.97273254
Slovakia		5413393	N/A	3.93730998	96.0072937	95.87380219	96.13374329	N/A	N/A
Slovenia		2059953	99.70596313	5.569839954	98.16900635	98.28356171	98.06118011	99.90585327	99.80928802
Sweden		9600379	N/A	6.491119862	101.5276031	100.8768387	102.1465607	N/A	N/A
Swaziland		1250641	83.09828949	7.829539776	N/A	N/A	N/A	94.74848938	92.18741608
Seychelles		89900	93.95423126	3.627640009	99.3367691	97.28916168	101.2986984	99.38307953	98.5867157
Chad		13145788	38.23194122	2.2579	38.78453827	30.12116051	47.31707001	45.99475861	54.29827881
Togo		6928719	60.40994644	4.405139923	81.27745056	74.19956207	88.33148193	72.70812225	86.91667175
Thailand		67451422	96.43091583	4.928349972	N/A	N/A	N/A	96.55204773	96.64254761
Tajikistan		8111894	99.75018311	4.018030167	N/A	N/A	N/A	99.88471985	99.85923767
Turkmenistan		5240088	99.65206146	3.049249887	N/A	N/A	N/A	99.89985657	99.76902771
East-Timor		1180069	58.30898285	9.463129997	N/A	N/A	N/A	78.56843567	80.48975372
Tonga		105139	99.38553619	3.898720026	108.964447	104.3866806	113.1171722	99.51042938	99.36656952
Trinidad-and-Tobago		1348240	98.86448669	N/A	N/A	N/A	N/A	99.59819031	99.58116913
Tunisia		10886500	79.65390778	6.223490238	97.84043121	98.39118958	97.31659698	96.31758881	98.23632813
Turkey		75010202	95.25665283	2.862469912	N/A	N/A	N/A	98.7420578	99.68914795
Tuvalu		9876	N/A	N/A	86.44860077	91.1764679	82.14286041	N/A	N/A
Tanzania		50213457	78.98261261	4.61882019	75.90473175	79.820961	72.0349884	84.84802246	87.17449188
Uganda		36573387	70.1982193	2.200930119	54.24296951	53.88740158	54.59527969	81.65420532	85.75978088
Ukraine		45489600	99.74240112	6.661180019	109.6443405	110.7439117	108.6091919	99.81105804	99.72917938
Uruguay		3407969	98.36386871	4.422180176	N/A	N/A	N/A	99.31015015	98.56437683
United-States		316497531	N/A	5.223889828	N/A	N/A	N/A	N/A	N/A
Uzbekistan		30243200	99.51878357	N/A	N/A	N/A	N/A	99.99616241	99.89434814
Saint-Vincent-and-the-Grenadines		109327	N/A	5.085229874	107.4922028	103.6842117	111.2139893	N/A	N/A
Venezuela		30276045	94.77022552	6.874670029	95.91468048	97.26792908	94.61730957	98.23636627	96.88986206
Vietnam		89708900	93.52045441	6.303110123	97.45285034	97.70040894	97.21994781	96.78112793	97.39524078
Vanuatu		253165	84.00946808	5.012869835	93.31661224	96.41255951	90.46472168	95.38832855	94.99694061
Samoa		190390	98.97325897	5.144209862	N/A	N/A	N/A	99.45804596	99.02961731
South-Africa		53157490	93.7294693	5.99751997	N/A	N/A	N/A	99.27070618	98.49654388
Zambia		15246086	61.42828751	1.099720001	83.70639801	81.9525528	85.47392273	58.47755051	70.30841064
Zimbabwe		14898092	83.5827179	1.966099977	N/A	N/A	90.80787659	92.12456512	89.5905838
